,class,tweet
0,normal,march booklet download time count
1,normal,order help increas booklet download would great stormfront youtub account could display follow text descript box upload youtub video
2,normal,simpli copi past follow text youtub video descript box
3,hate speech,click free download color illustr page intent destruct western civil
4,normal,click download mb green banner link
5,normal,booklet updat feb
6,normal,download
7,normal,pdf file watch hour video version zionist attack western civil white yt comment hyperlink txt v interest help spread booklet download link across world
8,normal,simpli copi text link past descript box youtub video
9,normal,thank advanc download youtub descript box info text file
10,hate speech,may may jew certainli stupid seem think black wo kill alongsid everi white get dirti hand muppet
11,normal,thank info deffinetli look
12,normal,hope room one excit
13,normal,came across piec garbag
14,normal,comment say sa
15,normal,warn graphic
16,normal,die antwoord cooki thumper offici video youtub
17,normal,white rang million
18,normal,believ higher sinc read report especi white free state count latest censu
19,normal,thank post stori
20,normal,think write book well
21,hate speech,alway consid teach one profess would like get neighbourhood like never kid like disgust
22,hate speech,sad thing white student school act like
23,normal,guess stick homeschool kid
24,normal,randi blazak expert teach sociolog star trek credit class student actual pay
25,normal,wonder young peopl ca get job
26,normal,take underwat basket weav cours worthwhil skill account angri still favorit comment
27,normal,old tarzan movi zulu king kong mani imag
28,normal,nation geograph magazin earli replet color photo african villag
29,normal,dr albert schweitzer documentari shown movi theater everywher
30,normal,think vh tape avail amazon
31,hate speech,god often pale skin blue eye suppos literaci valu highli cultur intelligencia
32,normal,girl start talk guy middl lip start move
33,normal,check line bad actor ca help
34,normal,whole situat start becom realli bizarr
35,normal,right sector support start sound fact isra agent
36,normal,know support anymor
37,normal,read mani post say israel give train us law enforc
38,normal,rememb boston marathon bomb watch fox news said law enforc consult israel advic
39,normal,believ dog would like get far away possibl
40,normal,free north carolina peterson particular vikinginm
41,normal,accord section c job area given peopl well thank post
42,hate speech,greec need man like adolf hitler perfect time start nation polit movement free countri zionist banker
43,normal,imag first week march freeman court judg bow sovereign canada youtub freeman court judg bow sovereign canada
44,normal,watch v hollywood movi
45,normal,know chri rock subsequ hate long time
46,hate speech,pathet littl chimp
47,normal,declar war innoc white popul nation could easili justifi anyon white nationalist
48,normal,seeker truth start watch benjamin freedman speak video youtub
49,normal,com watch v hxbcyx move watch loss liberti film youtub
50,normal,com watch v kbd watch min obama aipac youtub
51,normal,com watch v krdycxpb entir myron fagan video youtub
52,normal,com watch v free inform booklet video intent destruct white peopl go youtub
53,normal,com watch v
54,normal,note
55,normal,wntube net com
56,normal,improv site
57,normal,pleas contribut donat
58,normal,vid code
59,hate speech,tri el paso texa soo much mudd invas river color play cross year round
60,normal,welcom front line
61,normal,folk faith famili hail victori
62,hate speech,video event worth watch see beauti white ladi scream scum scum scum f ing scum muslim filth
63,normal,protest clash militari parad bark
64,normal,show stupid folk
65,normal,let order pizza deliv tri assault driver one know catch us
66,normal,nice know still men pair
67,normal,courag honestli apprec
68,normal,jesu christ lord inde
69,normal,nice day
70,hate speech,suppos concept male cow femal cow produc cow repeat process much understand
71,hate speech,may get mad cow diseas
72,normal,sooner better
73,normal,yeah one ever hear
74,normal,instead left shed tear black kid kill church bomb year ago
75,normal,need hear
76,normal,unsubscrib sa thread
77,normal,white folk requir littl time
